alpha,D,n,trial,t_EFT,t_EST,t_SD,count_EFT,count_EST,count_SD
1.0,10,8192,8,0.004599899999448098,0.004700199999206234,0.004097400000318885,5439,5333,8
1.0,10,8192,9,0.004711300003691576,0.004905599998892285,0.0038850999990245327,5474,5338,4
1.0,10,8192,10,0.004782500000146683,0.004517699999269098,0.003798300000198651,5412,5278,7
1.0,10,16384,1,0.009553099996992387,0.009223699998983648,0.008058899999014102,10869,10591,10
1.0,10,16384,2,0.008756099996389821,0.009279599995352328,0.007870199995522853,10864,10614,9
1.0,10,16384,3,0.008467600004223641,0.009289299996453337,0.007699299996602349,10822,10555,4
1.0,10,16384,4,0.009041299999807961,0.009200899999996182,0.008447199994407129,10804,10503,6
1.0,10,16384,5,0.008604700000432786,0.009161699999822304,0.0076800999959232286,10830,10547,14
1.0,10,16384,6,0.009089799998037051,0.009112700005061924,0.008079700004600454,10784,10523,9
1.0,10,16384,7,0.008931299998948816,0.009337600000435486,0.007829900001524948,10882,10616,9
1.0,10,16384,8,0.008900799999537412,0.009287100001529325,0.007517899997765198,10796,10532,9
1.0,10,16384,9,0.009312100002716761,0.009162299997115042,0.008147900000039954,10858,10601,8
1.0,10,16384,10,0.009020299999974668,0.009281500002543908,0.007675699998799246,10821,10567,14
1.0,10,32768,1,0.019843800000671763,0.019922400002542417,0.01651069999934407,21667,21163,11
1.0,10,32768,2,0.01934379999875091,0.019301200001791585,0.01594370000384515,21724,21179,11
1.0,10,32768,3,0.018591799998830538,0.019901500003470574,0.016110500000650063,21680,21115,8
1.0,10,32768,4,0.018860100004530977,0.01878279999800725,0.015799500004504807,21658,21136,12
1.0,10,32768,5,0.018593099994177464,0.019551900004444178,0.016343299997970462,21594,21083,5
1.0,10,32768,6,0.025147300002572592,0.02769090000219876,0.018311300002096687,21685,21156,10
1.0,10,32768,7,0.018889300001319498,0.019009799994819332,0.01678350000292994,21762,21258,15
1.0,10,32768,8,0.018665499999769963,0.019431500004429836,0.015406599995912984,21760,21230,13
1.0,10,32768,9,0.01887949999945704,0.01927140000043437,0.015686300001107156,21616,21090,11
1.0,10,32768,10,0.019228800003475044,0.019282200002635363,0.016073400001914706,21652,21136,12
1.0,10,65536,1,0.04112780000286875,0.038981600002443884,0.031201099998725113,43194,42111,7
1.0,10,65536,2,0.04002310000214493,0.03978339999594027,0.03126299999712501,43161,42128,6
1.0,10,65536,3,0.037147499999264255,0.037408800002594944,0.031081300003279466,43337,42265,11
1.0,10,65536,4,0.03873590000148397,0.03820439999981318,0.0319519999975455,43262,42212,12
1.0,10,65536,5,0.041630700005043764,0.039336800000455696,0.03331349999643862,43196,42127,13
1.0,10,65536,6,0.03966000000218628,0.0377918000012869,0.031161400002019946,43351,42286,11
